year,player,pos,tot_pts
2014,DeAndre Jordan,center,63
2015,Rudy Gobert,center,54
2016,Rudy Gobert,center,64
2017,DeAndre Jordan,center,35
2018,Andre Drummond,center,3
2019,Myles Turner,center,39
2020,Joel Embiid,center,11
2021,Clint Capela,center,42
2014,Kawhi Leonard,forward,89
2014,Anthony Davis,forward,62
2015,LeBron James,forward,47
2015,Michael Kidd-Gilchrist,forward,21
2016,Jae Crowder,forward,47
2016,LeBron James,forward,43
2017,Paul Millsap,forward,35
2017,Jimmy Butler,forward,18
2018,Paul George,forward,69
2018,Giannis Antetokounmpo,forward,43
2019,PJ Tucker,forward,38
2019,Pascal Siakam,forward,24
2020,P.J. Tucker,forward,29
2020,Jimmy Butler,forward,28
2021,Myles Turner,forward,24
2021,Julius Randle,forward,4
2014,Mike Conley,guard,21
2014,Ricky Rubio,guard,19
2015,Russell Westbrook,guard,35
2015,Avery Bradley,guard,26
2016,Klay Thompson,guard,49
2016,Kyle Lowry,guard,43
2017,Avery Bradley,guard,46
2017,Klay Thompson,guard,45
2018,Chris Paul,guard,74
2018,Klay Thompson,guard,24
2019,Danny Green,guard,66
2019,Patrick Beverley,guard,48
2020,Kris Dunn,guard,31
2020,Kyle Lowry,guard,23
2021,Mikal Bridges,guard,39
2021,Marcus Smart,guard,22
